Doc_ID,Nama_Tempat,Lokasi,Rating,Teks_Mentah
68,Waduk Sermo,"Kulon Progo, DIY",1.0,"pertama kali datang kesini, tata kelola dan komunikasi nya jelek! sudah datang awal dan pasang 2 tenda tbtb di suruh bongkar karena lahan nya sudah di booking untuk parkir mobil pdhl lahan parkir sudah tersedia di atas namun diijinkan karena sudah membayar! tidak ada komunikasi yg jelas atau informasi bahwa lahan sdh ter-booking dan terpaksa harus bongkar tenda 🤣 gws deh"
69,Waduk Sermo,"Kulon Progo, DIY",4.0,Salah satu tempat to see beautiful sunrise siihhh. Cantiknyyaaa matahari terbit🌤️ …
70,Waduk Sermo,"Kulon Progo, DIY",5.0,kalo lewat yg jalan baru agak sedep yekan apalagi pas mau turun ny 😅😅 biaya masuk 10ribu apakah skrg sudah tidak diperbolehkan smpk tulisan sermo ny itu ?
71,Camping Ground Bukit Ngisis,"Kulon Progo, DIY",5.0,Camping bareng keluarga
72,Camping Ground Bukit Ngisis,"Kulon Progo, DIY",5.0,"Camping Ground di atas bukit, panorama malam eksotis, lengkap ada cafe"
73,Camping Ground Bukit Ngisis,"Kulon Progo, DIY",4.0,Nuansa alami cottage kayu
74,Camping Ground Bukit Ngisis,"Kulon Progo, DIY",5.0,josjis view ne
75,Camping Ground Bukit Ngisis,"Kulon Progo, DIY",5.0,Syahdu banget
76,Camping Ground Bukit Ngisis,"Kulon Progo, DIY",5.0,bikin seger mata
77,Camping Ground Bukit Ngisis,"Kulon Progo, DIY",5.0,Udah pernah camp disini dan emang sebagus itu
78,Camping Ground Bukit Ngisis,"Kulon Progo, DIY",5.0,"Tempat yg recomended buat camp, lain waktu lagi"
79,Camping Ground Bukit Ngisis,"Kulon Progo, DIY",5.0,healing yg sbenarnya
80,Watu Mabur Lemahbang Rock Cliff,"Bantul, DIY",1.0,"Ingin tenang di Glamping gak bisa. Ada musik yang diputar sampai pagi, lapor pengelola juga tidak bisa. Berisik. Dengan musik yang keras disekitar kalau mau liburan tenang mending jangan disini"
